,id,imdb_id,original_title,filtered_name
82,146599,tt0114039,Once Upon a Time... When We Were Colored,upon a colored
83,188588,tt0113612,Last Summer in the Hamptons,hamptons
84,8447,tt0112365,Angels and Insects,insects
85,10534,tt0118158,White Squall,squall
86,17414,tt0116151,Dunston Checks In,dunston checks
87,13997,tt0115697,Black Sheep,sheep
88,2086,tt0113972,Nick of Time,nick
89,61548,tt0113490,The Journey of August King,august
90,9095,tt0117002,Mary Reilly,reilly
91,12158,tt0114825,Vampire in Brooklyn,brooklyn
92,9283,tt0115639,Beautiful Girls,
93,9208,tt0115759,Broken Arrow,broken arrow
94,40154,tt0113403,A Midwinter's Tale,a midwinter s
96,45549,tt0111173,Shopping,shopping
97,63076,tt0113283,Heidi Fleiss: Hollywood Madam,heidi fleiss madam
98,11062,tt0115907,City Hall,hall
99,13685,tt0115734,Bottle Rocket,bottle rocket
100,47475,tt0117102,Mr. Wrong,wrong
101,2045,tt0118040,Unforgettable,unforgettable
102,9614,tt0116483,Happy Gilmore,gilmore
103,688,tt0112579,The Bridges of Madison County,bridges madison county
105,10874,tt0117110,Muppet Treasure Island,muppet treasure
106,89333,tt0112646,Catwalk,catwalk
107,96357,tt0113276,Headless Body in Topless Bar,headless topless bar
108,197,tt0112573,Braveheart,braveheart
109,103,tt0075314,Taxi Driver,taxi driver
111,43566,tt0115645,Before and After,
112,71754,tt0113774,Margaret's Museum,margaret s museum
113,43612,tt0112556,Le Bonheur est dans le pré,bonheur est dans pré
114,51352,tt0112373,Anne Frank Remembered,anne frank remembered
115,16934,tt0115033,The Young Poisoner's Handbook,poisoner s handbook
116,10324,tt0116606,If Lucy Fell,lucy fell
117,78406,tt0114536,Steal Big Steal Little,steal steal
118,55731,tt0117427,Race the Sun,race
119,32119,tt0106473,The Boys of St. Vincent,st vincent
120,11066,tt0103859,Boomerang,boomerang
123,2074,tt0116324,Flirting with Disaster,flirting disaster
124,27793,tt0110647,The NeverEnding Story III,neverending
126,290157,tt0110217,Jupiter's Wife,jupiter s
127,110972,tt0114131,Pie in the Sky,pie
128,32622,tt0112364,Angela,angela
130,11863,tt0113451,Jade,jade
132,124636,tt0114500,Sonic Outlaws,sonic outlaws
133,9101,tt0116130,Down Periscope,periscope
134,123360,tt0113125,From the Journals of Jean Seberg,journals jean seberg
135,5757,tt0113756,Man of the Year,
136,39428,tt0113952,The Neon Bible,neon bible
137,124639,tt0114618,Target,target
138,9302,tt0118055,Up Close & Personal,close personal
139,11000,tt0115685,The Birdcage,birdcage
140,249882,tt0113200,Gospa,gospa
141,16388,tt0112585,The Brothers McMullen,mcmullen
142,9737,tt0112442,Bad Boys,
143,30765,tt0112342,The Amazing Panda Adventure,amazing panda
144,10474,tt0112461,The Basketball Diaries,basketball diaries
145,22279,tt0112427,An Awfully Big Adventure,awfully
146,30157,tt0109093,Amateur,amateur
147,568,tt0112384,Apollo 13,apollo
148,11780,tt0114287,Rob Roy,rob roy
149,34996,tt0112288,The Addiction,addiction
150,414,tt0112462,Batman Forever,
152,1873,tt0112495,Beyond Rangoon,rangoon
153,5894,tt0112541,Blue in the Face,
154,1775,tt0109370,Canadian Bacon,canadian bacon
155,8839,tt0112642,Casper,casper
156,20649,tt0112688,Clockers,clockers
157,10329,tt0112715,Congo,congo
158,8963,tt0112740,Crimson Tide,crimson tide
159,26564,tt0109508,Crumb,crumb
160,8068,tt0112851,Desperado,desperado
161,8512,tt0112857,Devil in a Blue Dress,a dress
162,1572,tt0112864,Die Hard: With a Vengeance,a vengeance
163,13552,tt0112887,The Doom Generation,doom generation
164,259209,tt0113044,Feast of July,feast july
165,6520,tt0113071,First Knight,knight
166,9073,tt0113114,Free Willy 2 - The Adventure Home,willy 2
167,10428,tt0113243,Hackers,hackers
168,17447,tt0113464,Jeffrey,jeffrey
169,9886,tt0113481,Johnny Mnemonic,mnemonic
170,9482,tt0113492,Judge Dredd,judge dredd
171,19326,tt0113500,Jury Duty,jury duty
172,9344,tt0113540,Kids,
173,9071,tt0113677,Living in Oblivion,oblivion
174,8973,tt0113690,Lord of Illusions,lord illusions
175,15730,tt0107447,Love & Human Remains,remains
176,47608,tt0113729,Mad Love,
177,2293,tt0113749,Mallrats,mallrats
178,9070,tt0113820,Mighty Morphin Power Rangers: The Movie,mighty morphin rangers
179,68274,tt0113851,Moonlight and Valentino,moonlight valentino
180,48787,tt0110604,Mute Witness,mute witness
181,34574,tt0110620,Nadja,nadja
182,1642,tt0113957,The Net,net
183,11472,tt0113986,Nine Months,nine months
184,36196,tt0114095,Party Girl,
185,11980,tt0114194,The Prophecy,prophecy
186,58372,tt0114241,Reckless,reckless
187,32646,tt0114323,Safe,safe
188,10533,tt0114345,The Scarlet Letter,scarlet letter
189,56088,tt0114435,The Show,
190,10802,tt0114436,Showgirls,showgirls
191,10149,tt0114478,Smoke,smoke
192,18402,tt0114496,Something to Talk About,talk
193,9348,tt0114508,Species,species
194,139408,tt0114534,The Stars Fell on Henrietta,stars fell henrietta
195,281,tt0114558,Strange Days,
197,79593,tt0114666,The Tie That Binds,tie binds
198,47939,tt0114663,Three Wishes,wishes
199,36834,tt0114702,Total Eclipse,total eclipse
200,9090,tt0114682,"To Wong Foo, Thanks for Everything! Julie Newmar",wong foo thanks everything julie newmar
201,3512,tt0114781,Under Siege 2: Dark Territory,siege 2 territory
202,52856,tt0114798,Unstrung Heroes,unstrung heroes
203,77350,tt0114805,Unzipped,unzipped
204,9560,tt0114887,A Walk in the Clouds,a clouds
205,9804,tt0114898,Waterworld,waterworld
206,31611,tt0114928,White Man's Burden,s burden
207,65796,tt0114938,Wild Bill,
208,49805,tt0109340,The Browning Version,browning version
209,26258,tt0112602,Bushwhacked,bushwhacked
211,19155,tt0110882,Before the Rain,rain
212,76,tt0112471,Before Sunrise,sunrise
213,11017,tt0112508,Billy Madison,billy madison
214,37141,tt0112438,The Babysitter,babysitter
215,9382,tt0112571,Boys on the Side,
216,6715,tt0112757,The Cure,cure
217,18256,tt0112643,Castle Freak,castle freak
218,22625,tt0112679,Circle of Friends,circle
219,2292,tt0109445,Clerks,clerks
220,1909,tt0112883,Don Juan DeMarco,juan demarco
221,8984,tt0109635,Disclosure,disclosure
222,61813,tt0112899,Dream Man,
223,4954,tt0109676,Drop Zone,drop zone
225,10531,tt0109579,Death and the Maiden,maiden
226,11929,tt0109642,Dolores Claiborne,dolores claiborne
227,8467,tt0109686,Dumb and Dumber,dumb dumber
229,20156,tt0109759,Exotica,exotica
230,18395,tt0109758,Exit to Eden,exit eden
231,522,tt0109707,Ed Wood,ed wood
232,397,tt0113117,French Kiss,french
233,10525,tt0113097,Forget Paris,forget
234,27985,tt0113028,Far from Home: The Adventures of Yellow Dog,far yellow
235,15789,tt0113198,A Goofy Movie,a goofy
236,27303,tt0113303,Hideaway,hideaway
237,21183,tt0113089,Fluke,fluke
239,47867,tt0113199,Gordy,gordy
240,43475,tt0113234,Gumby: The Movie,gumby
241,72031,tt0109906,The Glass Shield,glass shield
242,14275,tt0110057,Hoop Dreams,hoop
243,1024,tt0110005,Heavenly Creatures,heavenly creatures
244,17207,tt0110066,Houseguest,houseguest
245,13701,tt0110116,Immortal Beloved,immortal beloved
246,14819,tt0110006,Heavyweights,heavyweights
247,32631,tt0113360,The Hunted,hunted
248,11777,tt0110099,I.Q.,i q
249,628,tt0110148,Interview with the Vampire,interview
250,87729,tt0113463,Jefferson in Paris,jefferson
251,18713,tt0110189,The Jerky Boys,jerky
252,6280,tt0110216,Junior,junior
253,9061,tt0113501,Just Cause,cause
254,37108,tt0113538,A Kid in King Arthur's Court,a arthur s court
255,6071,tt0113552,Kiss of Death,
256,11,tt0076759,Star Wars,
257,9587,tt0110367,Little Women,
258,19101,tt0113670,A Little Princess,a
259,49980,tt0110296,Ladybird Ladybird,ladybird ladybird
262,4476,tt0110322,Legends of the Fall,legends
263,11008,tt0110443,Major Payne,major payne
264,47504,tt0110365,Little Odessa,odessa
265,32325,tt0107566,Mi Vida Loca,mi vida loca
266,43742,tt0110391,Love Affair,affair
267,28313,tt0113691,Losing Isaiah,losing isaiah
268,11318,tt0110428,The Madness of King George,madness
269,3036,tt0109836,Frankenstein,frankenstein
270,40490,tt0113755,Man of the House,
271,24070,tt0110538,Mixed Nuts,mixed nuts
272,8986,tt0110516,Milk Money,milk
273,10510,tt0110527,Miracle on 34th Street,miracle 34th
274,17402,tt0113808,Miami Rhapsody,miami rhapsody
275,38722,tt0113896,My Family,
276,8438,tt0113870,Murder in the First,
277,11593,tt0110684,Nobody's Fool,nobody s fool
278,1945,tt0110638,Nell,nell
279,39310,tt0113967,New Jersey Drive,jersey drive
280,109560,tt0117169,New York Cop,
281,56428,tt0106402,Beyond Bedlam,bedlam
282,63105,tt0113948,Nemesis 2 - Nebula,nemesis 2 nebula
283,131957,tt0110671,Nina Takes a Lover,nina takes a lover
284,241,tt0110632,Natural Born Killers,natural killers
285,9058,tt0110737,Only You,
286,527,tt0110729,Once Were Warriors,warriors
287,18220,tt0114151,Poison Ivy II: Lily,poison ivy lily
288,6950,tt0114069,Outbreak,outbreak
290,63020,tt0114113,The Perez Family,perez
291,2307,tt0114210,A Pyromaniac's Love Story,a pyromaniac s
292,680,tt0110912,Pulp Fiction,pulp fiction
293,41478,tt0114084,Panther,panther
295,40156,tt0110889,Priest,priest
296,11450,tt0110932,Quiz Show,quiz
297,30304,tt0114129,Picture Bride,picture
299,12106,tt0114214,The Quick and the Dead,quick
301,3586,tt0110907,Prêt-à-Porter,prêt à porter
306,36357,tt0114268,Rent-a-Kid,rent a
307,92769,tt0110965,Relative Fear,relative
308,28033,tt0114571,Stuart Saves His Family,stuart saves
309,22586,tt0111333,The Swan Princess,swan
310,14334,tt0111112,The Secret of Roan Inish,roan inish
311,2636,tt0111255,The Specialist,specialist
312,2164,tt0111282,Stargate,stargate
313,11395,tt0111070,The Santa Clause,clause
314,278,tt0111161,The Shawshank Redemption,shawshank redemption
315,9905,tt0111149,Shallow Grave,shallow grave
316,87078,tt0108260,Suture,suture
318,20306,tt0114594,Swimming with Sharks,swimming sharks
319,36614,tt0111309,The Sum of Us,sum
320,27993,tt0113936,Senior Trip,senior trip
322,9067,tt0114614,Tank Girl,tank
323,9059,tt0114608,Tales from the Crypt: Demon Knight,crypt demon knight
324,193,tt0111280,Star Trek: Generations,trek generations
325,25066,tt0114609,Tales from the Hood,hood
326,46797,tt0111454,Tom & Viv,viv
327,12122,tt0114852,Village of the Damned,village damned
328,11381,tt0114694,Tommy Boy,tommy
329,32636,tt0111590,Vanya on 42nd Street,vanya 42nd
330,36141,tt0114788,The Underneath,underneath
331,95963,tt0114888,The Walking Dead,walking
332,1587,tt0108550,What's Eating Gilbert Grape,s eating gilbert grape
333,9271,tt0114857,Virtuosity,virtuosity
334,2064,tt0114924,While You Were Sleeping,while sleeping
335,19855,tt0111667,The War,
336,60855,tt0109655,Double Happiness,happiness
337,236,tt0110598,Muriel's Wedding,muriel s
338,48287,tt0112435,The Baby-Sitters Club,sitters
339,3049,tt0109040,Ace Ventura: Pet Detective,ace ventura pet detective
340,2759,tt0109045,"The Adventures of Priscilla, Queen of the Desert",priscilla desert
341,12635,tt0106339,Backbeat,backbeat
342,10497,tt0104779,Bitter Moon,bitter
343,11382,tt0109348,Bullets Over Broadway,bullets
344,9331,tt0109444,Clear and Present Danger,clear present danger
345,10731,tt0109446,The Client,client
346,10464,tt0109484,"Corrina, Corrina",corrina corrina
347,34152,tt0109504,Crooklyn,crooklyn
348,9495,tt0109506,The Crow,crow
349,29973,tt0109450,Cobb,cobb
350,888,tt0109813,The Flintstones,flintstones
351,13,tt0109830,Forrest Gump,forrest gump
352,712,tt0109831,Four Weddings and a Funeral,weddings a funeral
353,16295,tt0113305,Higher Learning,higher learning
354,48992,tt0110091,I Like It Like That,i
355,10879,tt0110093,I Love Trouble,i
356,10660,tt0110167,It Could Happen to You,could happen
357,10714,tt0110213,The Jungle Book,
358,41647,tt0107472,Die Macht der Bilder: Leni Riefenstahl,macht der bilder leni riefenstahl
359,8587,tt0110357,The Lion King,lion
360,1689,tt0107426,Little Buddha,buddha
361,11596,tt0111686,New Nightmare,
362,854,tt0110475,The Mask,mask
363,9359,tt0110478,Maverick,maverick
364,23333,tt0110588,Mrs. Parker and the Vicious Circle,parker vicious circle
365,36593,tt0110622,The Naked Gun 33⅓: The Final Insult,33⅓ insult
366,12280,tt0110771,The Paper,paper
367,2788,tt0110950,Reality Bites,reality bites
368,10427,tt0105226,Red Rock West,
369,11011,tt0110989,Ri¢hie Ri¢h,ri hie ri h
370,49803,tt0111054,Safe Passage,safe passage
371,8987,tt0110997,The River Wild,
372,1637,tt0111257,Speed,speed
373,15128,tt0111256,Speechless,speechless
374,8831,tt0111438,Timecop,timecop
375,36955,tt0111503,True Lies,lies
376,10449,tt0111693,When a Man Loves a Woman,a loves a
377,10395,tt0111742,Wolf,
378,12160,tt0111756,Wyatt Earp,wyatt earp
379,40480,tt0112443,Bad Company,company
380,52038,tt0110455,A Man of No Importance,a importance
381,29444,tt0111048,S.F.W.,s f w
382,26352,tt0110399,A Low Down Dirty Shame,a low shame
383,39953,tt0112570,"Boys Life: Three Stories of Love, Lust, and Liberation",stories lust liberation
385,315,tt0059170,"Faster, Pussycat! Kill! Kill!",faster pussycat
386,22067,tt0110186,Jason's Lyric,jason s lyric
387,18242,tt0108069,The Secret Adventures of Tom Thumb,thumb
388,11667,tt0111301,Street Fighter,fighter
389,32502,tt0112702,Coldblooded,coldblooded
390,267188,tt0112849,Desert Winds,desert winds
391,28732,tt0113014,Fall Time,
392,75555,tt0113043,The Fear,
393,42981,tt0113104,Frank and Ollie,frank ollie
394,278939,tt0113173,Girl in the Cadillac,cadillac
395,291731,tt0113319,Homage,homage
396,226229,tt0113827,Mirage,mirage
397,203119,tt0114047,Open Season,open season
398,172923,tt0112889,Dos Crímenes,dos crímenes
399,316098,tt0109339,Brother Minister: The Assassination of Malcolm X,brother minister assassination malcolm x
400,8011,tt0110027,Highlander III: The Sorcerer,highlander sorcerer
401,171857,tt0109785,Federal Hill,federal
402,2654,tt0113409,In the Mouth of Madness,mouth madness
403,18069,tt0109021,8 Seconds,8 seconds
404,19092,tt0109035,Above the Rim,above rim
405,2758,tt0106220,Addams Family Values,addams values
406,38129,tt0111804,Martin Lawrence: You So Crazy,martin lawrence
407,10436,tt0106226,The Age of Innocence,innocence
408,13595,tt0109068,Airheads,airheads
409,46094,tt0109067,The Air Up There,
410,9409,tt0106292,Another Stakeout,stakeout
411,11853,tt0109198,Bad Girls,
412,16771,tt0109219,Barcelona,barcelona
413,46924,tt0106379,Being Human,being
414,11041,tt0106400,The Beverly Hillbillies,beverly hillbillies
415,306,tt0109254,Beverly Hills Cop III,beverly hills
416,14522,tt0109279,Black Beauty,beauty
417,26203,tt0109297,Blink,blink
418,178,tt0109303,Blown Away,blown
419,19819,tt0109305,Blue Chips,chips
420,57834,tt0109306,Blue Sky,
421,4722,tt0106452,Body Snatchers,snatchers
422,18215,tt0106471,Boxing Helena,boxing helena
423,1607,tt0106489,A Bronx Tale,a bronx
424,26391,tt0109361,Cabin Boy,cabin
425,117553,tt0106505,Calendar Girl,calendar
426,6075,tt0106519,Carlito's Way,carlito s
427,11310,tt0109439,City Slickers II: The Legend of Curly's Gold,slickers curly s
428,18658,tt0109443,Clean Slate,clean slate
429,9350,tt0106582,Cliffhanger,cliffhanger
430,9612,tt0106598,Coneheads,coneheads
431,2124,tt0109456,Color of Night,color
432,26261,tt0109480,Cops & Robbersons,cops robbersons
433,19176,tt0109493,The Cowboy Way,cowboy
434,49299,tt0106660,Dangerous Game,
435,11566,tt0106673,Dave,dave
436,9571,tt0106677,Dazed and Confused,dazed confused
437,9739,tt0106697,Demolition Man,demolition
438,24257,tt0109729,The Endless Summer 2,endless 2
439,34444,tt0106834,Even Cowgirls Get the Blues,even cowgirls
440,26141,tt0106873,Fatal Instinct,fatal instinct
442,50463,tt0109783,The Favor,favor
443,10443,tt0106881,Fearless,fearless
444,20239,tt0106880,Fear of a Black Hat,a hat
445,16297,tt0111732,With Honors,honors
446,18551,tt0106926,Flesh and Bone,bone
447,25440,tt0111712,Widows' Peak,widows peak
448,9024,tt0106941,For Love or Money,
449,37233,tt0106918,The Firm,firm
450,1634,tt0106965,Free Willy,willy
451,13815,tt0109842,Fresh,fresh
452,5503,tt0106977,The Fugitive,fugitive
453,35588,tt0107004,Geronimo: An American Legend,geronimo
454,2087,tt0109890,The Getaway,getaway
455,41579,tt0109891,Getting Even with Dad,getting even dad
456,18620,tt0109913,Go Fish,fish
457,41006,tt0109920,A Good Man in Africa,a africa
458,4916,tt0107057,Guilty as Sin,guilty sin
459,2019,tt0107076,Hard Target,target
460,31642,tt0107096,Heaven & Earth,
461,9255,tt0107144,Hot Shots! Part Deux,shots deux
462,26271,tt0113674,Live Nude Girls,nude
463,10612,tt0112966,The Englishman Who Went Up a Hill But Came Down a Mountain,englishman went a but a
464,2259,tt0107151,The House of the Spirits,spirits
465,16097,tt0110064,House Party 3,3
466,11934,tt0110074,The Hudsucker Proxy,hudsucker proxy
467,106143,tt0110097,I'll Do Anything,i ll anything
468,12475,tt0110123,In the Army Now,army
469,9386,tt0107206,In the Line of Fire,
470,7984,tt0107207,In the Name of the Father,name
471,59930,tt0110137,The Inkwell,inkwell
472,15765,tt0108551,What's Love Got to Do with It,s got
473,31643,tt0110197,Jimmy Hollywood,jimmy
474,6,tt0107286,Judgment Night,judgment
475,329,tt0107290,Jurassic Park,jurassic
476,10909,tt0107302,Kalifornia,kalifornia
477,507,tt0110265,Killing Zoe,zoe
478,34024,tt0107322,King of the Hill,
479,29918,tt0110305,Lassie,lassie
480,9593,tt0107362,Last Action Hero,action
481,42580,tt0107413,Life With Mikey,mikey
482,22317,tt0110353,Lightning Jack,lightning
483,1413,tt0107468,M. Butterfly,m butterfly
484,12121,tt0107478,Made in America,
485,2246,tt0107497,Malice,malice
486,10502,tt0107501,The Man without a Face,a
487,10440,tt0107507,Manhattan Murder Mystery,manhattan
488,9516,tt0107554,Menace II Society,menace society
489,2320,tt0116253,Executive Decision,executive decision
491,83718,tt0111689,What Happened Was...,happened
492,11971,tt0107616,Much Ado About Nothing,much ado
493,2625,tt0107611,Mr. Jones,jones
494,31911,tt0107613,Mr. Wonderful,wonderful
495,788,tt0107614,Mrs. Doubtfire,doubtfire
496,21450,tt0107653,Naked,
497,11231,tt0110657,The Next Karate Kid,karate
498,41588,tt0110649,The New Age,
499,10447,tt0110678,No Escape,
500,31586,tt0110687,North,
501,9300,tt0107756,Orlando,orlando
502,9559,tt0107808,A Perfect World,a
503,9800,tt0107818,Philadelphia,philadelphia
504,713,tt0107822,The Piano,piano
505,8291,tt0107840,Poetic Justice,poetic
506,18133,tt0107889,The Program,program
507,25557,tt0111003,The Puppet Masters,puppet masters
508,22588,tt0110939,Radioland Murders,radioland murders
509,10872,tt0110955,The Ref,ref
510,1245,tt0107943,The Remains of the Day,remains
511,11858,tt0110971,Renaissance Man,renaissance
512,7007,tt0107969,Rising Sun,rising
513,10467,tt0111001,The Road to Wellville,wellville
514,5550,tt0107978,RoboCop 3,robocop 3
515,8005,tt0107977,Robin Hood: Men in Tights,robin hood tights
516,2088,tt0107983,Romeo Is Bleeding,romeo bleeding
517,10412,tt0105275,Romper Stomper,romper stomper
518,47889,tt0108000,Ruby in Paradise,ruby
519,14534,tt0108002,Rudy,rudy
520,56583,tt0108026,The Saint of Fort Washington,saint fort washington
522,424,tt0108052,Schindler's List,schindler s list
523,35233,tt0111094,The Scout,scout
524,14291,tt0108065,Searching for Bobby Fischer,searching bobby fischer
525,103413,tt0111102,Second Best,second
526,11236,tt0108071,The Secret Garden,garden
527,11592,tt0111127,Serial Mom,serial mom
528,8850,tt0111143,The Shadow,
529,10445,tt0108101,Shadowlands,shadowlands
530,695,tt0108122,Short Cuts,short cuts
531,43535,tt0111194,A Simple Twist of Fate,a simple twist fate
532,12519,tt0111201,Sirens,sirens
533,23210,tt0108149,Six Degrees of Separation,six degrees separation
534,858,tt0108160,Sleepless in Seattle,sleepless seattle
535,867,tt0108162,Sliver,sliver
536,78,tt0083658,Blade Runner,blade runner
537,13203,tt0108186,Son in Law,law
538,10442,tt0108174,So I Married an Axe Murderer,i married axe murderer
539,11074,tt0108238,Striking Distance,striking distance
540,33367,tt0089256,Harem,harem
541,9607,tt0108255,Super Mario Bros.,mario bros
542,17585,tt0111323,Surviving the Game,surviving
543,9057,tt0111400,Terminal Velocity,terminal velocity
544,20967,tt0108328,Thirty Two Short Films About Glenn Gould,thirty short films glenn gould
545,10635,tt0111418,Threesome,threesome
546,9479,tt0107688,The Nightmare Before Christmas,
547,10057,tt0108333,The Three Musketeers,musketeers
548,11969,tt0108358,Tombstone,tombstone
549,41590,tt0111488,Trial by Jury,trial jury
550,319,tt0108399,True Romance,romance
551,26408,tt0108515,The War Room,
552,15139,tt0110763,The Pagemaster,pagemaster
553,161158,tt0107779,"Paris, France",france
554,218473,tt0109226,"The Beans of Egypt, Maine",beans egypt maine
555,85247,tt0110259,Killer,
556,11446,tt0114906,Welcome to the Dollhouse,welcome dollhouse
557,51980,tt0107002,Germinal,germinal
558,24405,tt0109403,Chasers,chasers
559,11655,tt0104029,Cronos,cronos
560,11800,tt0110623,Naked in New York,
562,14587,tt0106408,Bhaji on the Beach,bhaji
563,31504,tt0110363,Little Big League,league
565,53185,tt0111709,Wide Eyed and Legless,wide eyed legless
566,95743,tt0109828,Foreign Student,foreign student
567,23637,tt0107225,Io speriamo che me la cavo,io speriamo che cavo
568,17600,tt0111252,Spanking the Monkey,spanking monkey
569,10897,tt0110366,The Little Rascals,rascals
570,349394,tt0106878,À la mode,à mode
571,21352,tt0109120,Andre,andre
573,37345,tt0110892,Princess Caraboo,caraboo
574,32562,tt0112651,The Celluloid Closet,celluloid closet
575,47507,tt0107642,Métisse,métisse
577,124304,tt0106678,De eso no se habla,eso se habla
578,9066,tt0112572,The Brady Bunch Movie,brady bunch
579,771,tt0099785,Home Alone,
580,251,tt0099653,Ghost,
581,812,tt0103639,Aladdin,aladdin
582,280,tt0103064,Terminator 2: Judgment Day,terminator 2 judgment
583,581,tt0099348,Dances with Wolves,dances wolves
584,80350,tt0114706,Tough and Deadly,tough
585,268,tt0096895,Batman,
586,274,tt0102926,The Silence of the Lambs,silence lambs
587,408,tt0029583,Snow White and the Seven Dwarfs,dwarfs
588,10020,tt0101414,Beauty and the Beast,beauty
589,10895,tt0032910,Pinocchio,pinocchio
590,114,tt0100405,Pretty Woman,pretty
592,576,tt0065214,The Wild Bunch,bunch
593,15477,tt0110395,Love and a .45,a 45
594,59146,tt0111752,The Wooden Man's Bride,wooden s
595,124472,tt0109934,A Great Day in Harlem,a harlem
596,30528,tt0112606,Bye Bye Love,bye bye
597,7300,tt0117247,One Fine Day,fine
598,10824,tt0112625,Candyman: Farewell to the Flesh,candyman farewell
599,261246,tt0106537,Century,century
600,275,tt0116282,Fargo,fargo
601,25059,tt0116552,Homeward Bound II: Lost in San Francisco,homeward bound san francisco
602,11827,tt0082509,Heavy Metal,heavy metal
603,8766,tt0116514,Hellraiser: Bloodline,hellraiser bloodline
604,23570,tt0117283,The Pallbearer,pallbearer
605,47333,tt0116684,Jane Eyre,jane eyre
606,54850,tt0110374,Loaded,loaded
608,10112,tt0065421,The Aristocats,aristocats
610,46029,tt0118001,Two Much,much
611,32308,tt0116165,Ed,ed
614,123505,tt0113839,A Modern Affair,a modern affair
615,340210,tt0112712,Condition Red,condition
616,44281,tt0090665,Asfour Stah,asfour stah
617,28121,tt0117891,A Thin Line Between Love and Hate,a thin between hate
618,12520,tt0113613,The Last Supper,supper
619,1592,tt0117381,Primal Fear,primal
620,166901,tt0114305,Rude,rude
621,36447,tt0115837,Carried Away,carried
622,19042,tt0115509,All Dogs Go to Heaven 2,dogs 2
623,38884,tt0114671,Land and Freedom,freedom
624,47449,tt0112844,Denise Calls Up,denise calls
625,36259,tt0114658,Theodore Rex,theodore rex
626,41852,tt0116275,A Family Thing,a
627,40926,tt0113122,Frisk,frisk
628,9099,tt0117608,Sgt. Bilko,sgt bilko
629,2021,tt0113448,Jack & Sarah,sarah
630,61752,tt0116414,Girl 6,6
631,10988,tt0116095,Diabolique,diabolique
637,10684,tt0115956,Courage Under Fire,courage
638,954,tt0117060,Mission: Impossible,mission impossible
